,0
0,0
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,0
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,1
262,1
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,1
