,0
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,1
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,0
