,0
0,0
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,0
153,1
154,0
155,1
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,0
226,0
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,0
389,0
