,0
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,1
56,0
57,1
58,0
59,1
60,1
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,1
261,0
262,1
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,1
336,1
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,0
400,0
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,1
428,1
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,0
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,1
485,1
