,0
0,1
1,1
2,0
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,1
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,1
