,0
0,1
1,1
2,1
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,1
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,1
303,1
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,1
386,0
387,1
388,1
389,0
390,0
391,0
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
